member_id,persona_major,neighbor_major,constraint_major,member_bias,activity_n,profile
U001,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,-0.248,53,해산물 비선호
U002,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.133,157,해산물 비선호
U003,양념/소스/조미료,가공/편의식/스낵,육류/해산물/계란,0.301,57,해산물 비선호
U004,쌀/면/떡,가공/편의식/스낵,,-0.105,66,면 선호
U005,채소/과일,음료/유제품,육류/해산물/계란,0.328,63,채식주의자
U006,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.288,59,채식주의자
U007,채소/과일,음료/유제품,육류/해산물/계란,-0.048,60,채식주의자
U008,양념/소스/조미료,가공/편의식/스낵,음료/유제품,0.390,57,유당 불내증
U009,채소/과일,음료/유제품,육류/해산물/계란,0.320,60,해산물 비선호
U010,가공/편의식/스낵,양념/소스/조미료,,-0.103,70,과자 선호(스낵 선호)
U011,쌀/면/떡,가공/편의식/스낵,,0.418,195,면 선호
U012,육류/해산물/계란,양념/소스/조미료,쌀/면/떡,0.337,66,다이어트중
U013,채소/과일,음료/유제품,,0.200,70,채소 선호
U014,쌀/면/떡,육류/해산물/계란,음료/유제품,-0.027,60,유당 불내증
U015,가공/편의식/스낵,양념/소스/조미료,,0.317,67,과자 선호(스낵 선호)
U016,육류/해산물/계란,쌀/면/떡,,0.114,65,육류 선호
U017,육류/해산물/계란,채소/과일,,0.106,59,육류 선호
U018,채소/과일,음료/유제품,,-0.059,132,채소 선호
U019,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.363,127,채식주의자
U020,채소/과일,음료/유제품,쌀/면/떡,-0.113,187,다이어트중
U021,채소/과일,음료/유제품,육류/해산물/계란,-0.297,168,채식주의자
U022,채소/과일,음료/유제품,,0.372,179,채소 선호
U023,채소/과일,음료/유제품,쌀/면/떡,-0.220,179,다이어트중
U024,가공/편의식/스낵,양념/소스/조미료,육류/해산물/계란,-0.384,68,과자 선호(스낵 선호)
U025,음료/유제품,양념/소스/조미료,육류/해산물/계란,-0.039,62,해산물 비선호
U026,육류/해산물/계란,채소/과일,쌀/면/떡,-0.237,68,육류 선호
U027,쌀/면/떡,가공/편의식/스낵,채소/과일,-0.430,62,면 선호
U028,쌀/면/떡,가공/편의식/스낵,,0.370,59,면 선호
U029,육류/해산물/계란,채소/과일,음료/유제품,0.096,70,유당 불내증
U030,가공/편의식/스낵,쌀/면/떡,음료/유제품,-0.224,54,유당 불내증
U031,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,-0.172,68,해산물 비선호
U032,육류/해산물/계란,쌀/면/떡,채소/과일,-0.369,63,육류 선호
U033,채소/과일,음료/유제품,쌀/면/떡,0.028,55,다이어트중
U034,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.421,60,채식주의자
U035,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.417,148,채식주의자
U036,쌀/면/떡,육류/해산물/계란,,-0.369,58,면 선호
U037,가공/편의식/스낵,양념/소스/조미료,,-0.118,58,과자 선호(스낵 선호)
U038,가공/편의식/스낵,양념/소스/조미료,,-0.352,50,과자 선호(스낵 선호)
U039,채소/과일,음료/유제품,쌀/면/떡,0.374,52,다이어트중
U040,채소/과일,육류/해산물/계란,음료/유제품,0.134,125,유당 불내증
U041,채소/과일,음료/유제품,,0.446,150,채소 선호
U042,채소/과일,육류/해산물/계란,,-0.100,67,채소 선호
U043,채소/과일,음료/유제품,육류/해산물/계란,0.347,65,채식주의자
U044,채소/과일,음료/유제품,쌀/면/떡,-0.421,64,다이어트중
U045,육류/해산물/계란,쌀/면/떡,,0.320,167,육류 선호
U046,가공/편의식/스낵,쌀/면/떡,,-0.396,53,과자 선호(스낵 선호)
U047,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,-0.367,70,채식주의자
U048,육류/해산물/계란,채소/과일,,0.258,54,육류 선호
U049,채소/과일,음료/유제품,육류/해산물/계란,-0.388,56,해산물 비선호
U050,쌀/면/떡,가공/편의식/스낵,채소/과일,-0.154,196,면 선호
U051,채소/과일,음료/유제품,육류/해산물/계란,0.036,53,채식주의자
U052,채소/과일,음료/유제품,,-0.437,57,채소 선호
U053,쌀/면/떡,육류/해산물/계란,음료/유제품,-0.293,173,유당 불내증
U054,채소/과일,육류/해산물/계란,,-0.021,66,채소 선호
U055,양념/소스/조미료,가공/편의식/스낵,음료/유제품,0.003,51,유당 불내증
U056,채소/과일,음료/유제품,,0.129,181,채소 선호
U057,가공/편의식/스낵,쌀/면/떡,육류/해산물/계란,0.167,64,과자 선호(스낵 선호)
U058,음료/유제품,채소/과일,육류/해산물/계란,0.097,155,해산물 비선호
U059,채소/과일,음료/유제품,,0.445,64,채소 선호
U060,양념/소스/조미료,가공/편의식/스낵,육류/해산물/계란,-0.361,70,해산물 비선호
U061,양념/소스/조미료,가공/편의식/스낵,음료/유제품,-0.044,60,유당 불내증
U062,쌀/면/떡,육류/해산물/계란,,-0.076,174,면 선호
U063,가공/편의식/스낵,쌀/면/떡,채소/과일,-0.113,180,과자 선호(스낵 선호)
U064,육류/해산물/계란,양념/소스/조미료,가공/편의식/스낵,-0.061,61,다이어트중
U065,가공/편의식/스낵,양념/소스/조미료,음료/유제품,-0.396,67,유당 불내증
U066,쌀/면/떡,가공/편의식/스낵,,-0.080,63,면 선호
U067,육류/해산물/계란,음료/유제품,가공/편의식/스낵,0.422,61,다이어트중
U068,육류/해산물/계란,양념/소스/조미료,쌀/면/떡,-0.311,53,다이어트중
U069,육류/해산물/계란,쌀/면/떡,,-0.347,57,육류 선호
U070,채소/과일,음료/유제품,육류/해산물/계란,0.098,58,채소 선호
U071,육류/해산물/계란,채소/과일,,0.379,55,육류 선호
U072,육류/해산물/계란,쌀/면/떡,채소/과일,-0.387,50,육류 선호
U073,채소/과일,육류/해산물/계란,,-0.111,55,채소 선호
U074,음료/유제품,양념/소스/조미료,육류/해산물/계란,0.249,52,해산물 비선호
U075,가공/편의식/스낵,양념/소스/조미료,채소/과일,-0.308,52,과자 선호(스낵 선호)
U076,육류/해산물/계란,쌀/면/떡,채소/과일,-0.013,58,육류 선호
U077,육류/해산물/계란,채소/과일,,-0.139,195,육류 선호
U078,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,-0.409,69,채식주의자
U079,쌀/면/떡,가공/편의식/스낵,음료/유제품,-0.266,54,유당 불내증
U080,쌀/면/떡,육류/해산물/계란,채소/과일,-0.155,175,면 선호
U081,가공/편의식/스낵,양념/소스/조미료,음료/유제품,0.183,61,유당 불내증
U082,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.326,122,채식주의자
U083,가공/편의식/스낵,쌀/면/떡,,0.326,68,과자 선호(스낵 선호)
U084,양념/소스/조미료,가공/편의식/스낵,육류/해산물/계란,-0.189,60,해산물 비선호
U085,가공/편의식/스낵,양념/소스/조미료,,0.299,52,과자 선호(스낵 선호)
U086,쌀/면/떡,육류/해산물/계란,채소/과일,-0.231,66,면 선호
U087,가공/편의식/스낵,양념/소스/조미료,,-0.251,52,과자 선호(스낵 선호)
U088,쌀/면/떡,가공/편의식/스낵,육류/해산물/계란,0.028,164,해산물 비선호
U089,육류/해산물/계란,양념/소스/조미료,가공/편의식/스낵,-0.237,145,다이어트중
U090,육류/해산물/계란,음료/유제품,쌀/면/떡,0.234,55,다이어트중
U091,양념/소스/조미료,가공/편의식/스낵,육류/해산물/계란,0.229,64,해산물 비선호
U092,쌀/면/떡,가공/편의식/스낵,,-0.314,176,면 선호
U093,육류/해산물/계란,채소/과일,,0.082,52,육류 선호
U094,육류/해산물/계란,쌀/면/떡,채소/과일,-0.416,59,육류 선호
U095,쌀/면/떡,가공/편의식/스낵,,-0.034,51,면 선호
U096,채소/과일,음료/유제품,,-0.161,54,채소 선호
U097,쌀/면/떡,가공/편의식/스낵,,-0.357,60,면 선호
U098,육류/해산물/계란,양념/소스/조미료,쌀/면/떡,0.004,151,다이어트중
U099,채소/과일,육류/해산물/계란,,0.022,61,채소 선호
U100,채소/과일,육류/해산물/계란,음료/유제품,-0.101,69,유당 불내증
